date,open,high,low,close,volume
2024-10-07,1.0226880746201553e-05,1.0329149553663569e-05,1.0124611938739537e-05,1.0226880746201553e-05,1724489686.00341
2024-10-08,1.0226880746201553e-05,9.966126125609144e-06,9.768777093418863e-06,9.867451609514003e-06,2658704866.0958962
2024-10-09,9.867451609514003e-06,9.611312125085087e-06,9.420989112707164e-06,9.516150618896126e-06,1899602175.0658727
2024-10-10,9.516150618896126e-06,9.198748330055917e-06,9.016594897777581e-06,9.10767161391675e-06,1600588163.6895168
2024-10-11,9.10767161391675e-06,9.334347578190941e-06,9.14950901228617e-06,9.241928295238555e-06,1392651014.2769516
2024-10-12,9.241928295238555e-06,9.826905304118033e-06,9.632313119878072e-06,9.729609211998053e-06,1571565908.4222388
2024-10-13,9.729609211998053e-06,1.0012069224450145e-05,9.81381042792638e-06,9.912939826188262e-06,1335335339.1383855
2024-10-14,9.912939826188262e-06,9.74877339121729e-06,9.555728373569423e-06,9.652250882393356e-06,1141204646.9933264
2024-10-15,9.652250882393356e-06,1.1010298185137775e-05,1.0792272478501384e-05,1.090128533181958e-05,2414530715.1224637
2024-10-16,1.090128533181958e-05,1.0439037520802635e-05,1.0232323906529316e-05,1.0335680713665975e-05,2586142951.6155896
2024-10-17,1.0335680713665975e-05,1.055120175819497e-05,1.0342267069913883e-05,1.0446734414054427e-05,1768664567.0315902
2024-10-18,1.0446734414054427e-05,9.947609112880319e-06,9.750626754209423e-06,9.849117933544871e-06,1510058596.389455
2024-10-19,9.849117933544871e-06,1.0608804775474476e-05,1.0398729433385873e-05,1.0503767104430174e-05,1776312170.775256
2024-10-20,1.0503767104430174e-05,1.0610437627001022e-05,1.0400329951218822e-05,1.0505383789109922e-05,1161690294.056467
2024-10-21,1.0505383789109922e-05,1.0732645724516432e-05,1.0520118086407195e-05,1.0626381905461814e-05,1140493651.9105458
2024-10-22,1.0626381905461814e-05,1.0286659719894034e-05,1.0082963487816925e-05,1.018481160385548e-05,1395627670.0094016
2024-10-23,1.018481160385548e-05,1.0155758016010016e-05,9.954653896881105e-06,1.005520595644556e-05,968743252.7507453
2024-10-24,1.005520595644556e-05,9.91217201601382e-06,9.715891382033347e-06,9.814031699023583e-06,1113162931.606457
2024-10-25,9.814031699023583e-06,1.0083414388651263e-05,9.883742816598762e-06,9.983578602625013e-06,1084068446.2445617
2024-10-26,9.983578602625013e-06,8.799993285054625e-06,8.625735992281266e-06,8.712864638667946e-06,1481484324.7316842
2024-10-27,8.712864638667946e-06,9.14673633507407e-06,8.965612843290424e-06,9.056174589182247e-06,1084075411.6685793
2024-10-28,9.056174589182247e-06,9.24645583241907e-06,9.063357697123643e-06,9.154906764771356e-06,857000867.5148581
2024-10-29,9.154906764771356e-06,9.262825534794398e-06,9.079403246976686e-06,9.171114390885542e-06,1353606653.111589
2024-10-30,9.171114390885542e-06,9.742008523516493e-06,9.549097463644878e-06,9.645552993580686e-06,1501485214.3101952
2024-10-31,9.645552993580686e-06,9.771989665366014e-06,9.578484919517181e-06,9.675237292441598e-06,1572366357.4956021
2024-11-01,9.675237292441598e-06,9.205974692326464e-06,9.023678163765543e-06,9.114826428046003e-06,1094708649.0376132
2024-11-02,9.114826428046003e-06,8.974482760208461e-06,8.796770230303342e-06,8.885626495255902e-06,1131219573.5678666
2024-11-03,8.885626495255902e-06,8.782592295952039e-06,8.608679577220316e-06,8.695635936586177e-06,709108009.6670719
2024-11-04,8.695635936586177e-06,8.270807891100807e-06,8.107029517019602e-06,8.188918704060204e-06,1148277261.356749
2024-11-05,8.188918704060204e-06,7.977776567676182e-06,7.81980079405883e-06,7.898788680867506e-06,1181506599.2460022
2024-11-06,7.898788680867506e-06,8.622263608376956e-06,8.451525715141768e-06,8.536894661759362e-06,1430820005.967626
2024-11-07,8.536894661759362e-06,1.0023794615529607e-05,9.825303633043873e-06,9.92454912428674e-06,2904295871.3088284
2024-11-08,9.92454912428674e-06,1.0996186611212696e-05,1.077844034168373e-05,1.0887313476448214e-05,2930361819.024337
2024-11-09,1.0887313476448214e-05,1.0921567168259179e-05,1.0705298511461968e-05,1.0813432839860574e-05,2499616891.821417
2024-11-10,1.0813432839860574e-05,1.1290271527362488e-05,1.106670179414739e-05,1.1178486660754939e-05,2600798443.648866
2024-11-11,1.1178486660754939e-05,1.238747862485105e-05,1.2142182018418355e-05,1.2264830321634702e-05,6205272171.342931
2024-11-12,1.2264830321634702e-05,1.3121851139740263e-05,1.2862012503309762e-05,1.2991931821525012e-05,5890877829.439133
2024-11-13,1.2991931821525012e-05,1.4498995289101282e-05,1.4211886471495315e-05,1.4355440880298299e-05,7917750202.744593
2024-11-14,1.4355440880298299e-05,2.106484467453511e-05,2.06477190374156e-05,2.0856281855975356e-05,19186885908.04048
2024-11-15,2.0856281855975356e-05,2.0835803013533346e-05,2.042321285484952e-05,2.0629507934191433e-05,17947940246.193436
2024-11-16,2.0629507934191433e-05,2.366419505958064e-05,2.3195597137608746e-05,2.3429896098594692e-05,11387557136.34431
2024-11-17,2.3429896098594692e-05,2.144983801359148e-05,2.1025088745995608e-05,2.1237463379793544e-05,5858746167.503163
2024-11-18,2.1237463379793544e-05,2.1409197335400615e-05,2.098525283370951e-05,2.1197225084555063e-05,6324429129.051736
2024-11-19,2.1197225084555063e-05,2.0584615843849425e-05,2.0176999688525677e-05,2.038080776618755e-05,5914780010.34091
2024-11-20,2.038080776618755e-05,1.988224582370938e-05,1.9488537985616126e-05,1.9685391904662753e-05,4855869060.63407
2024-11-21,1.9685391904662753e-05,1.9001966418313868e-05,1.862568985557498e-05,1.8813828136944424e-05,4565590436.958843
2024-11-22,1.8813828136944424e-05,2.1005467144929174e-05,2.0589517300475133e-05,2.0797492222702153e-05,6923556487.616974
2024-11-23,2.0797492222702153e-05,2.074228863863556e-05,2.0331550249751686e-05,2.0536919444193624e-05,4602115480.148706
2024-11-24,2.0536919444193624e-05,2.067130966300303e-05,2.026197679838911e-05,2.046664323069607e-05,6155425941.298072
2024-11-25,2.046664323069607e-05,2.0421541206389938e-05,2.0017154251807956e-05,2.0219347729098947e-05,3759475440.667537
2024-11-26,2.0219347729098947e-05,1.921451361204076e-05,1.8834028193980546e-05,1.9024270903010652e-05,3924038366.042559
2024-11-27,1.9024270903010652e-05,1.8392798028083217e-05,1.8028584205744938e-05,1.8210691116914078e-05,3541769493.2689385
2024-11-28,1.8210691116914078e-05,2.00118328265452e-05,1.961555890918787e-05,1.9813695867866535e-05,3556225868.6981707
