date,open,high,low,close,volume
2024-10-05,1.740323052106291e-05,1.757726282627354e-05,1.722919821585228e-05,1.740323052106291e-05,764203739.5968786
2024-10-06,1.740323052106291e-05,1.7621198658705266e-05,1.727226403180021e-05,1.744673134525274e-05,515506234.5529788
2024-10-07,1.744673134525274e-05,1.830097759930368e-05,1.7938582003277867e-05,1.8119779801290774e-05,642642765.5217229
2024-10-08,1.8119779801290774e-05,1.7691004611360803e-05,1.7340687688363557e-05,1.751584614986218e-05,796658272.3293071
2024-10-09,1.751584614986218e-05,1.742474781104032e-05,1.7079703299930613e-05,1.7252225555485466e-05,464900720.03050596
2024-10-10,1.7252225555485466e-05,1.7096489113468545e-05,1.675794477458798e-05,1.6927216944028262e-05,487512908.9035451
2024-10-11,1.6927216944028262e-05,1.6899304749008887e-05,1.656466505100871e-05,1.6731984900008798e-05,404012276.93488085
2024-10-12,1.6731984900008798e-05,1.7803063590541394e-05,1.7450527677857407e-05,1.76267956341994e-05,599534034.2686335
2024-10-13,1.76267956341994e-05,1.802849421437585e-05,1.7671494328942662e-05,1.7849994271659255e-05,402805924.33232945
2024-10-14,1.7849994271659255e-05,1.7756778073519877e-05,1.7405158705727407e-05,1.7580968389623642e-05,366700095.0987587
2024-10-15,1.7580968389623642e-05,1.8893396879823707e-05,1.8519270208936108e-05,1.8706333544379907e-05,640002579.1920774
2024-10-16,1.8706333544379907e-05,1.8359522909790943e-05,1.799596800068617e-05,1.8177745455238556e-05,726370722.7526914
2024-10-17,1.8177745455238556e-05,1.8750878604564105e-05,1.8379574077741055e-05,1.856522634115258e-05,834938764.3918886
2024-10-18,1.856522634115258e-05,1.8353866265093534e-05,1.799042336875505e-05,1.8172144816924293e-05,532040998.1654968
2024-10-19,1.8172144816924293e-05,1.8985599282580278e-05,1.8609646821539086e-05,1.8797623052059682e-05,788543213.9960054
2024-10-20,1.8797623052059682e-05,1.9241763177137396e-05,1.8860738163728732e-05,1.9051250670433064e-05,684585227.8618712
2024-10-21,1.9051250670433064e-05,1.915465818084439e-05,1.877535801884747e-05,1.896500809984593e-05,410239718.65339446
2024-10-22,1.896500809984593e-05,1.8549284935002508e-05,1.818197236203216e-05,1.8365628648517334e-05,627429523.5186496
2024-10-23,1.8365628648517334e-05,1.8310021562688158e-05,1.794744687827849e-05,1.8128734220483324e-05,398439562.5565156
2024-10-24,1.8128734220483324e-05,1.785102101455225e-05,1.749753544990765e-05,1.767427823222995e-05,412856889.3989823
2024-10-25,1.767427823222995e-05,1.8230532687812744e-05,1.7869532040529324e-05,1.8050032364171034e-05,381855806.88965064
2024-10-26,1.8050032364171034e-05,1.6674199080060315e-05,1.6344016920059122e-05,1.650910800005972e-05,491625641.9906015
2024-10-27,1.650910800005972e-05,1.7172247282449164e-05,1.6832202781806606e-05,1.7002225032127885e-05,357614367.5297046
2024-10-28,1.7002225032127885e-05,1.7390819199059778e-05,1.7046446541652653e-05,1.7218632870356215e-05,257757485.92214486
2024-10-29,1.7218632870356215e-05,1.8397868516947014e-05,1.8033554288888654e-05,1.8215711402917834e-05,681820117.8021797
2024-10-30,1.8215711402917834e-05,1.9289551715136082e-05,1.8907580394044278e-05,1.909856605459018e-05,1154121214.6578183
2024-10-31,1.909856605459018e-05,1.8634356443066494e-05,1.826535928577805e-05,1.8449857864422273e-05,663166241.5963138
2024-11-01,1.8449857864422273e-05,1.811036826741489e-05,1.7751747113604693e-05,1.793105769050979e-05,703095557.2178392
2024-11-02,1.793105769050979e-05,1.777173968354337e-05,1.7419824046245483e-05,1.7595781864894426e-05,550138164.9912887
2024-11-03,1.7595781864894426e-05,1.760074345114281e-05,1.7252213877852854e-05,1.742647866449783e-05,256615251.7968413
2024-11-04,1.742647866449783e-05,1.709861653314857e-05,1.676003006714563e-05,1.69293233001471e-05,428374366.7100048
2024-11-05,1.69293233001471e-05,1.6983097411929868e-05,1.6646798453277792e-05,1.681494793260383e-05,418463895.93283826
2024-11-06,1.681494793260383e-05,1.8008907060746257e-05,1.7652295039741383e-05,1.783060105024382e-05,772179091.5371228
2024-11-07,1.783060105024382e-05,1.9259380670029024e-05,1.887800679537498e-05,1.9068693732702002e-05,1723708778.287516
2024-11-08,1.9068693732702002e-05,1.9322764755513706e-05,1.8940135750454028e-05,1.9131450252983867e-05,912216821.01139
2024-11-09,1.9131450252983867e-05,1.922580726413743e-05,1.8845098209402033e-05,1.903545273676973e-05,915307393.0736306
2024-11-10,1.903545273676973e-05,2.0545143171146028e-05,2.013830865290551e-05,2.034172591202577e-05,1111129292.6162565
2024-11-11,2.034172591202577e-05,2.6373890542635026e-05,2.5851635284365028e-05,2.6112762913500027e-05,8695672266.072111
2024-11-12,2.6112762913500027e-05,2.807925361365451e-05,2.752322878962175e-05,2.780124120163813e-05,6879853236.072589
2024-11-13,2.780124120163813e-05,2.712773267084622e-05,2.659054984568095e-05,2.6859141258263585e-05,7987692356.639993
2024-11-14,2.6859141258263585e-05,2.6123051881906903e-05,2.560576372582954e-05,2.586440780386822e-05,6243392749.195294
2024-11-15,2.586440780386822e-05,2.348275030894569e-05,2.3017745352332903e-05,2.3250247830639297e-05,3472779687.102228
2024-11-16,2.3250247830639297e-05,2.5660734080172288e-05,2.515260073205006e-05,2.5406667406111175e-05,2232618407.9127192
2024-11-17,2.5406667406111175e-05,2.4872183072538278e-05,2.4379664595854354e-05,2.4625923834196316e-05,1924772677.1877322
2024-11-18,2.4625923834196316e-05,2.505463410022678e-05,2.455850273190546e-05,2.480656841606612e-05,1895524698.5406692
2024-11-19,2.480656841606612e-05,2.510671927072721e-05,2.4609556512891025e-05,2.4858137891809118e-05,2027373722.3632705
2024-11-20,2.4858137891809118e-05,2.506523570448545e-05,2.456889440340653e-05,2.481706505394599e-05,2106038698.0830853
2024-11-21,2.481706505394599e-05,2.4189853650009392e-05,2.371084664703891e-05,2.395035014852415e-05,1433921050.7712135
2024-11-22,2.395035014852415e-05,2.5045153800065177e-05,2.4549210160459925e-05,2.479718198026255e-05,1481199118.2358973
2024-11-23,2.479718198026255e-05,2.5644642346049497e-05,2.5136827646127727e-05,2.539073499608861e-05,1950375733.4942667
2024-11-24,2.539073499608861e-05,2.618856765160975e-05,2.5669982153558072e-05,2.592927490258391e-05,4181035291.068199
2024-11-25,2.592927490258391e-05,2.598686972113558e-05,2.547227824150913e-05,2.5729573981322355e-05,2728871977.539677
2024-11-26,2.5729573981322355e-05,2.5024446418183835e-05,2.452891282574455e-05,2.4776679621964193e-05,1652943219.5927367
2024-11-27,2.4776679621964193e-05,2.458509639562646e-05,2.4098262803633858e-05,2.4341679599630158e-05,1004359305.4403182
2024-11-28,2.4341679599630158e-05,2.5972466261640477e-05,2.5458159999033736e-05,2.5715313130337106e-05,1030772300.8774147
2024-11-29,2.5715313130337106e-05,2.5769631321886435e-05,2.5259341592740168e-05,2.55144864573133e-05,1021408716.5900823
2024-11-30,2.55144864573133e-05,2.6330999658481007e-05,2.5809593724649702e-05,2.6070296691565355e-05,1159040893.558587
2024-12-01,2.6070296691565355e-05,2.7042297387960303e-05,2.6506806350574948e-05,2.6774551869267625e-05,1645785287.38262
2024-12-02,2.6774551869267625e-05,3.112440130157869e-05,3.05080765233296e-05,3.081623891245414e-05,8356213393.316411
2024-12-03,3.081623891245414e-05,3.0061172792631988e-05,2.9465902044263036e-05,2.9763537418447512e-05,4396617604.40874
2024-12-04,2.9763537418447512e-05,2.897679458214466e-05,2.8402996669626943e-05,2.8689895625885802e-05,3336127252.2850204
2024-12-05,2.8689895625885802e-05,3.317074380396374e-05,3.251389739200407e-05,3.2842320597983906e-05,4443196440.591513
2024-12-06,3.2842320597983906e-05,3.092912550163753e-05,3.0316667570912035e-05,3.0622896536274784e-05,5005452378.460151
2024-12-07,3.0622896536274784e-05,3.1157323876711684e-05,3.054034716628175e-05,3.0848835521496716e-05,1837398800.5944355
2024-12-08,3.0848835521496716e-05,3.2383539109472326e-05,3.1742280909284754e-05,3.206291000937854e-05,2419815881.328114
2024-12-09,3.206291000937854e-05,3.257565659585886e-05,3.193059408901017e-05,3.2253125342434515e-05,2077937741.435265
2024-12-10,3.2253125342434515e-05,2.768305580460063e-05,2.7134876481737254e-05,2.7408966143168943e-05,3341903590.929778
2024-12-11,2.7408966143168943e-05,2.7427462368213846e-05,2.688434430151654e-05,2.7155903334865192e-05,3040610164.802587
2024-12-12,2.7155903334865192e-05,2.9078253358080228e-05,2.850244636089052e-05,2.8790349859485374e-05,2011455100.6576715
2024-12-13,2.8790349859485374e-05,2.8413004389593405e-05,2.7850370639304424e-05,2.8131687514448915e-05,1527805312.178744
2024-12-14,2.8131687514448915e-05,2.8737749355164257e-05,2.8168685011497638e-05,2.8453217183330948e-05,975132370.8351926
2024-12-15,2.8453217183330948e-05,2.7727123521233922e-05,2.7178071570318397e-05,2.745259754577616e-05,912153652.3000273
2024-12-16,2.745259754577616e-05,2.8223302865127086e-05,2.7664425580669126e-05,2.7943864222898106e-05,656454804.0203631
2024-12-17,2.7943864222898106e-05,2.752204497394169e-05,2.6977053984358687e-05,2.724954947915019e-05,979598294.0760771
2024-12-18,2.724954947915019e-05,2.6546774368254845e-05,2.6021095667893363e-05,2.6283935018074104e-05,704096734.6568404
2024-12-19,2.6283935018074104e-05,2.428943429350804e-05,2.3808455396606892e-05,2.4048944845057466e-05,1296058976.650975
2024-12-20,2.4048944845057466e-05,2.192232835015907e-05,2.1488222838274727e-05,2.1705275594216898e-05,1622057880.3212247
2024-12-21,2.1705275594216898e-05,2.2740551805176523e-05,2.2290243848638373e-05,2.2515397826907448e-05,1717475210.9646518
2024-12-22,2.2515397826907448e-05,2.1927932269747107e-05,2.1493715789158054e-05,2.171082402945258e-05,1028941184.8847066
2024-12-23,2.171082402945258e-05,2.168520585833303e-05,2.125579584133634e-05,2.1470500849834685e-05,627421373.1024023
2024-12-24,2.1470500849834685e-05,2.2693755153411144e-05,2.2244373863244588e-05,2.2469064508327866e-05,714527518.6753346
2024-12-25,2.2469064508327866e-05,2.3777118142253595e-05,2.330628411963471e-05,2.3541701130944153e-05,624858014.0838653
2024-12-26,2.3541701130944153e-05,2.3116282412674342e-05,2.2658534246086734e-05,2.2887408329380538e-05,576227276.8518229
2024-12-27,2.2887408329380538e-05,2.1731149620594935e-05,2.1300829826127707e-05,2.151598972336132e-05,511015851.4780561
2024-12-28,2.151598972336132e-05,2.183905495314055e-05,2.1406598419414995e-05,2.1622826686277773e-05,468042375.38966274
2024-12-29,2.1622826686277773e-05,2.2354720074715244e-05,2.1912052350463458e-05,2.213338621258935e-05,313910950.0163809
2024-12-30,2.213338621258935e-05,2.160072413617559e-05,2.1172987024568153e-05,2.138685558037187e-05,387252123.647975
2024-12-31,2.138685558037187e-05,2.1307754612682875e-05,2.0885818877778266e-05,2.109678674523057e-05,502101683.8692236
2025-01-01,2.109678674523057e-05,2.1379642489454234e-05,2.0956283232237316e-05,2.1167962860845775e-05,477095343.78173476
2025-01-02,2.1167962860845775e-05,2.1824419375714104e-05,2.139225265540293e-05,2.1608336015558518e-05,342270336.4078926
2025-01-03,2.1608336015558518e-05,2.3117944958319122e-05,2.2660163870035573e-05,2.2889054414177347e-05,560781149.5272583
2025-01-04,2.2889054414177347e-05,2.462319935331152e-05,2.4135611247305347e-05,2.4379405300308433e-05,712662396.4326174
2025-01-05,2.4379405300308433e-05,2.457034963083003e-05,2.4083808053981908e-05,2.4327078842405968e-05,580677710.0451607
2025-01-06,2.4327078842405968e-05,2.4183636088444617e-05,2.3704752205505117e-05,2.3944194146974867e-05,418242726.09733075
